actionId,afprice,browser,city,country,currency,date,device,goal,goalValue,ip,offer_title,os,revenue,status,sub1
13624.6063.801680,undefined USD,Chrome 126,Garden Grove,US,USD,8/8/2024 4:19,desktop,Default,1,172.56.191.10,Shopify CPA,Windows 10,90,pending,tabm
12544.6063.727110,undefined USD,Edge (Chromium) for Windows 120,Lubon,PL,USD,8/8/2024 2:55,desktop,Exchange,1,83.23.118.XXX,Nexo - CPA,Windows 10,0.003,confirmed,tab_ch
12544.6063.722790,undefined USD,Chrome 120,Heidenau,DE,USD,8/8/2024 2:52,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
2029.6063.659794,undefined USD,Chrome 127,Monrovia,US,USD,8/8/2024 1:49,desktop,Default,1,216.165.236.45,Abebooks Global - CPS,Windows 10,0.3156,confirmed,tabm
13624.6062.807229,undefined USD,Chrome 126,Garden Grove,US,USD,8/7/2024 4:16,desktop,Default,1,172.56.191.155,Shopify CPA,Windows 10,20,pending,tabm
12544.6062.732909,undefined USD,Chrome 120,Heidenau,DE,USD,8/7/2024 2:53,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
240805GBC697WF_2770596743_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0.1236,confirmed,tabm
240805GBC697WG_9443153571_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0.0876,confirmed,tabm
240805GBC697WH_24730018388_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0,confirmed,tabm
240805GBC697WH_22083536553_4,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0.468,confirmed,tabm
240805GBC697WJ_24974915353_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0.0193,confirmed,tabm
240805GBC697WJ_24974915353_2,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0.0193,confirmed,tabm
240805GBC697WH_24730018388_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0,confirmed,tabm
240805GBC697WH_24730018388_5,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0,confirmed,tabm
240805GBC697WH_24730018388_3,undefined SGD,Chrome 127,Singapore,SG,SGD,8/6/2024 13:35,desktop,Old User,1,101.127.7.146,Shopee SG - CPS,Windows 10,0,confirmed,tabm
12544.6061.742531,undefined USD,Chrome 120,Heidenau,DE,USD,8/6/2024 2:52,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
240804DVDHS80X_9659648993_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/5/2024 14:06,desktop,Old User,1,118.189.184.75,Shopee SG - CPS,Windows 10,0.5472,confirmed,tabm
240804E4N175JS_25510401007_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/5/2024 14:06,desktop,Old User,1,103.6.150.137,Shopee SG - CPS,Windows 10,0.0072,confirmed,tabm
240804D7QW9MCG_15661212628_1,undefined SGD,Chrome 127,Singapore,SG,SGD,8/5/2024 14:06,desktop,Old User,1,115.66.43.110,Shopee SG - CPS,Windows 10,0.2139,confirmed,tabm
12544.6060.699784,undefined USD,Chrome 120,Heidenau,DE,USD,8/5/2024 2:53,desktop,Interest,3,83.135.9.XXX,Nexo - CPA,Windows 10,0.0009,confirmed,tabm
